,Classifier,Accuracy,Precision,Recall,F1-Score,Time
0,Decision Tree,0.856,0.857,0.856,0.856,4.661
1,Random Forest,0.906,0.907,0.906,0.906,306.455
2,Logistic Regression,0.737,0.738,0.737,0.737,7.021
3,Nearest Neighbors,0.846,0.856,0.846,0.845,92.135
4,Naive Bayes,0.715,0.716,0.715,0.715,1.376
5,GradientBoost,0.904,0.907,0.904,0.903,242.474
6,XGB,0.909,0.915,0.909,0.908,144.974
7,LGBM,0.908,0.914,0.908,0.907,8.353
8,CatBoost,0.908,0.915,0.908,0.908,198.399
9,AdaBoost,0.854,0.854,0.854,0.854,182.206
